"Name","Product","Qty","Buy Avg Price","Sell Avg Price","LTP","P&L"
"BANKNIFTY 25 AUG 57300 CALL","Normal","30.00","728.60","849.20","807.35","3,618.00"
"BANKNIFTY 25 AUG 60000 CALL","Normal","30.00","96.95","73.25","80.00","-711.00"
"SENSEX 30 JUL 76500 PUT","Normal","60.00","1.70","4.87","0.05","190.00"
"SENSEX 30 JUL 78500 CALL","Normal","60.00","2.30","4.77","0.05","148.00"
"SENSEX 30 JUL 77000 PUT","Normal","40.00","5.35","14.20","0.05","354.00"
"SENSEX 30 JUL 78400 CALL","Normal","40.00","1.60","5.70","0.05","164.00"
"SENSEX 30 JUL 78200 CALL","Normal","140.00","1.05","11.26","0.05","1,429.00"
"SENSEX 30 JUL 77100 PUT","Normal","60.00","1.30","10.13","0.05","530.00"
"SENSEX 30 JUL 77200 PUT","Normal","20.00","1.65","9.50","0.05","157.00"
"SENSEX 30 JUL 77400 PUT","Normal","140.00","2.90","12.84","0.10","1,391.00"
"SENSEX 30 JUL 77800 CALL","Normal","120.00","18.00","13.86","123.85","-497.00"
"SENSEX 30 JUL 77900 CALL","Normal","220.00","0.80","5.29","24.35","987.00"
"SENSEX 30 JUL 77500 PUT","Normal","40.00","0.05","5.15","0.05","204.00"
